Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5295,0,0,5262,33,32,3580,22,3947,20,745,359,497,2374,1300,11874,2922,55.1841,11368,1.65207,1,8
1,269,5288,0,0,5221,67,58,3621,24,4043,15,751,300,526,2479,1217,11289,2829,53.4985,10907,1.6787,1,8
2,269,5366,0,0,5321,45,42,3649,24,4192,25,729,371,487,2462,1292,12462,3014,56.1685,11940,1.72176,1,8
3,269,5346,0,0,5312,34,30,3665,22,4089,31,759,334,527,2468,1227,12167,2937,54.9383,11638,1.69176,1,8
4,269,5355,0,0,5296,59,55,3680,25,4115,13,766,351,512,2450,1263,11615,2897,54.099,11199,1.69924,1,8
5,269,5379,0,0,5353,26,23,3704,24,4091,17,794,334,474,2405,1355,11947,2968,55.1775,11487,1.69233,1,8
6,269,5414,0,0,5366,48,47,3676,22,4017,20,801,380,476,2518,1219,11893,2916,53.8604,11432,1.6714,1,8
7,269,5381,0,0,5341,40,37,3686,22,4165,25,749,371,522,2412,1302,11624,2858,53.1128,11141,1.7138,1,8
8,269,5279,0,0,5237,42,37,3644,23,4112,17,737,314,487,2409,1315,11842,2916,55.2377,11241,1.69837,1,8
9,269,5393,0,0,5338,55,49,3711,24,4137,24,786,270,527,2489,1297,11627,2824,52.3642,11213,1.70561,1,8
10,269,5330,0,0,5283,47,40,3615,23,4058,21,753,329,516,2393,1318,12118,2930,54.9719,11676,1.68294,1,8
11,269,5344,0,0,5319,25,24,3615,23,4016,17,802,375,506,2420,1224,11821,2957,55.3331,11376,1.67112,1,8
12,269,5242,0,0,5197,45,42,3572,24,4028,14,750,298,508,2409,1263,11738,2869,54.731,11230,1.67448,1,8
13,269,5401,0,0,5364,37,36,3650,22,4060,22,812,349,541,2462,1215,11935,2945,54.5269,11446,1.6835,1,8
14,269,5313,0,0,5279,34,29,3607,21,3968,21,768,347,517,2452,1208,12078,2997,56.4088,11702,1.65782,1,8
15,269,5274,0,0,5238,36,30,3533,24,3995,19,765,378,526,2277,1309,11944,2977,56.4467,11467,1.66528,1,8
16,269,5274,0,0,5223,51,46,3638,24,4112,19,760,307,490,2482,1216,11280,2847,53.9818,10863,1.69837,1,8
17,269,5393,0,0,5359,34,28,3735,23,4201,20,775,324,508,2457,1309,11707,2933,54.3853,11271,1.72444,1,8
18,269,5334,0,0,5298,36,32,3671,24,4077,23,764,290,565,2478,1214,11570,2888,54.1432,11151,1.68833,1,8
19,269,5404,0,0,5369,35,27,3666,23,4111,23,800,342,526,2432,1281,11665,2949,54.5707,11210,1.69808,1,8
20,269,5381,0,0,5335,46,41,3664,22,4102,18,765,378,538,2477,1205,11873,2924,54.3393,11365,1.69549,1,8
21,269,5298,0,0,5269,29,24,3600,24,4070,20,793,344,520,2392,1229,11229,2769,52.265,10821,1.68634,1,8
22,269,5222,0,0,5177,45,43,3583,24,4045,20,781,329,451,2332,1309,11642,2811,53.83,11099,1.67926,1,8
23,269,5288,0,0,5270,18,15,3581,25,3913,10,740,340,528,2428,1242,11993,2937,55.5408,11525,1.64285,1,8
24,269,5213,0,0,5184,29,25,3480,23,3955,17,746,352,537,2285,1276,11798,2897,55.5726,11326,1.65426,1,8
25,269,5409,0,0,5376,33,31,3645,23,3994,16,820,349,539,2408,1277,11671,2899,53.5959,11190,1.665,1,8
26,269,5277,0,0,5244,33,29,3591,22,4015,16,776,357,501,2301,1326,12454,2964,56.1683,11961,1.67084,1,8
27,269,5340,0,0,5309,31,25,3604,22,3962,15,808,336,518,2416,1247,11610,2964,55.5056,11197,1.65618,1,8
28,269,5284,0,0,5247,37,33,3665,23,4200,21,750,291,545,2430,1247,11345,2807,53.1226,10974,1.72414,1,8
29,269,5392,0,0,5352,40,32,3587,24,4099,17,790,369,530,2421,1265,11700,2880,53.4125,11249,1.69463,1,8
30,269,5489,0,0,5459,30,26,3689,21,4089,31,797,393,558,2407,1303,12181,2978,54.254,11722,1.69176,1,8
31,269,5242,0,0,5216,26,24,3611,21,4034,19,747,293,491,2435,1257,11474,2846,54.2923,11003,1.67616,1,8
