Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,5423,0,0,5393,30,30,3666,22,4107,29,787,400,509,2480,1218,1357,671,12.3732,6126,1.69693,1,8
1,269,5421,0,0,5371,50,44,3617,22,3970,26,762,415,534,2524,1160,1287,622,11.4739,6067,1.65837,1,8
2,269,5439,0,0,5414,25,21,3606,23,4080,18,811,378,552,2382,1298,1311,655,12.0427,6105,1.68919,1,8
3,269,5507,0,0,5471,36,36,3631,27,3967,14,807,437,544,2409,1296,1364,658,11.9484,5998,1.65755,1,8
4,269,5319,0,0,5276,43,42,3670,23,4074,15,761,328,501,2501,1213,1299,648,12.1827,5995,1.68748,1,8
5,269,5418,0,0,5388,30,25,3570,25,4125,21,807,412,555,2384,1239,1377,693,12.7907,6282,1.70213,1,8
6,269,5365,0,0,5344,21,19,3639,24,4015,16,797,346,518,2418,1270,1290,624,11.6309,5698,1.67084,1,8
7,269,5319,0,0,5288,31,27,3543,25,3972,18,811,395,511,2317,1267,1325,648,12.1827,6029,1.65893,1,8
8,269,5365,0,0,5349,16,14,3566,22,3894,19,804,393,541,2365,1243,1348,686,12.7866,6228,1.63773,1,8
9,269,5496,0,0,5454,42,36,3652,23,4023,18,811,432,553,2396,1286,1354,641,11.663,6008,1.67308,1,8
10,269,5290,0,0,5264,26,25,3532,22,3965,19,782,381,517,2343,1248,1323,647,12.2306,5835,1.657,1,8
11,269,5365,0,0,5333,32,30,3652,23,4091,15,793,363,535,2363,1296,1250,595,11.0904,5879,1.69233,1,8
12,269,5232,0,0,5186,46,41,3591,24,4000,15,752,332,528,2323,1282,1316,636,12.156,5759,1.66667,1,8
13,269,5373,0,0,5319,54,49,3548,23,4073,28,764,447,564,2255,1315,1313,638,11.8742,6093,1.68719,1,8
14,269,5366,0,0,5337,29,27,3625,26,3975,16,780,353,533,2426,1258,1304,613,11.4238,6056,1.65975,1,8
15,269,5393,0,0,5343,50,44,3681,24,4182,15,760,356,531,2505,1226,1313,635,11.7745,6010,1.7188,1,8
16,269,5467,0,0,5426,41,38,3609,27,4085,17,795,402,544,2382,1327,1369,698,12.7675,6476,1.69062,1,8
17,269,5440,0,0,5393,47,41,3653,22,4106,23,781,384,532,2488,1232,1286,627,11.5257,5831,1.69664,1,8
18,269,5392,0,0,5367,25,22,3632,24,4088,16,823,352,498,2459,1244,1314,659,12.2218,6104,1.69147,1,8
19,269,5386,0,0,5354,32,30,3630,27,4089,13,838,346,522,2379,1288,1301,632,11.7341,5882,1.69176,1,8
20,269,5460,0,0,5414,46,43,3694,22,4179,22,799,385,531,2406,1317,1336,620,11.3553,6119,1.71792,1,8
21,269,5474,0,0,5420,54,49,3665,22,4121,17,807,386,561,2430,1273,1297,656,11.9839,6115,1.70097,1,8
22,269,5362,0,0,5328,34,32,3615,22,3951,19,798,344,532,2431,1238,1341,642,11.9731,6072,1.65317,1,8
23,269,5436,0,0,5397,39,35,3574,24,3978,15,878,348,566,2406,1223,1349,675,12.4172,6110,1.66058,1,8
24,269,5474,0,0,5442,32,31,3719,23,4200,22,803,345,557,2469,1278,1382,683,12.4772,6230,1.72414,1,8
25,269,5264,0,0,5234,30,27,3610,22,4078,23,704,340,504,2424,1269,1220,605,11.4932,5950,1.68862,1,8
26,269,5444,0,0,5410,34,31,3664,23,4114,24,819,385,540,2496,1180,1355,650,11.9398,6164,1.69895,1,8
27,269,5477,0,0,5445,32,30,3679,23,4089,19,808,333,576,2431,1310,1358,642,11.7217,5976,1.69176,1,8
28,269,5480,0,0,5437,43,37,3686,22,4102,19,836,370,563,2491,1201,1338,644,11.7518,5888,1.69549,1,8
29,269,5346,0,0,5325,21,18,3622,23,4051,20,828,325,496,2415,1262,1293,651,12.1773,6088,1.68095,1,8
30,269,5435,0,0,5398,37,31,3560,23,4020,17,823,402,570,2368,1255,1296,630,11.5915,6066,1.67224,1,8
31,269,5361,0,0,5333,28,24,3638,22,4058,24,785,358,484,2479,1231,1288,609,11.3598,6078,1.68294,1,8
32,269,5456,0,0,5404,52,46,3591,22,4000,19,800,425,536,2412,1264,1369,686,12.5733,6228,1.66667,1,8
33,269,5417,0,0,5401,16,13,3602,23,3919,11,809,399,520,2453,1225,1313,644,11.8885,5878,1.64447,1,8
34,269,5370,0,0,5335,35,31,3657,23,3999,22,768,344,534,2408,1294,1322,649,12.0857,5940,1.66639,1,8
35,269,5560,0,0,5532,28,24,3742,22,4075,20,873,428,561,2379,1299,1343,633,11.3849,5780,1.68776,1,8
36,269,5327,0,0,5316,11,9,3526,21,3922,21,813,353,523,2382,1235,1361,623,11.6951,5784,1.64528,1,8
37,269,5344,0,0,5323,21,15,3651,24,4043,24,780,339,522,2416,1263,1271,602,11.265,5772,1.6787,1,8
38,269,5325,0,0,5281,44,40,3549,21,3937,26,791,350,536,2358,1264,1300,633,11.8873,5894,1.64935,1,8
39,269,5327,0,0,5302,25,22,3619,22,3993,24,747,376,539,2378,1263,1289,582,10.9255,5522,1.66472,1,8
40,269,5361,0,0,5333,28,27,3670,22,4052,20,770,358,522,2405,1286,1308,652,12.1619,6221,1.68124,1,8
41,269,5379,0,0,5336,43,42,3591,24,4101,24,761,389,517,2347,1341,1316,625,11.6193,5847,1.6952,1,8
42,269,5434,0,0,5396,38,34,3683,21,4124,25,840,353,519,2410,1287,1274,621,11.428,6156,1.70184,1,8
43,269,5276,0,0,5248,28,28,3502,21,3907,32,830,331,488,2275,1320,1311,641,12.1494,5912,1.64123,1,8
44,269,5439,0,0,5402,37,35,3652,23,4082,20,806,392,542,2429,1250,1263,613,11.2705,5790,1.68976,1,8
45,269,5502,0,0,5460,42,37,3676,21,4043,24,799,389,540,2439,1311,1314,690,12.5409,6318,1.6787,1,8
46,269,5543,0,0,5501,42,38,3677,21,3970,23,805,411,576,2433,1295,1323,635,11.4559,6119,1.65837,1,8
47,269,5372,0,0,5343,29,26,3536,23,3990,23,823,373,522,2487,1144,1340,644,11.9881,6281,1.66389,1,8
48,269,5491,0,0,5467,24,22,3619,23,4083,27,890,394,536,2375,1269,1319,674,12.2746,6311,1.69005,1,8
49,269,5516,0,0,5472,44,38,3702,22,4252,36,847,353,542,2375,1363,1309,649,11.7658,6147,1.73974,1,8
50,269,5420,0,0,5376,44,40,3678,23,4093,19,765,424,521,2437,1254,1358,658,12.1402,5978,1.69291,1,8
51,269,5399,0,0,5368,31,26,3661,21,4046,21,795,369,492,2390,1332,1356,666,12.3356,6014,1.67954,1,8
52,269,5346,0,0,5317,29,23,3562,21,3997,27,793,397,517,2347,1265,1332,688,12.8694,6307,1.66583,1,8
53,269,5402,0,0,5361,41,38,3626,22,4076,25,761,400,519,2420,1277,1338,658,12.1807,6022,1.68805,1,8
54,269,5417,0,0,5390,27,23,3612,20,3951,25,829,360,534,2406,1263,1277,631,11.6485,5873,1.65317,1,8
55,269,5390,0,0,5357,33,29,3640,21,4069,26,811,357,493,2402,1301,1315,633,11.744,6000,1.68606,1,8
56,269,5419,0,0,5396,23,21,3633,23,4053,24,800,366,542,2459,1228,1314,622,11.4781,6116,1.68152,1,8
57,269,5441,0,0,5402,39,32,3616,28,4133,15,777,412,566,2394,1277,1337,645,11.8544,6210,1.70445,1,8
58,269,5484,0,0,5441,43,41,3645,22,4100,19,830,403,551,2458,1223,1344,655,11.9438,6332,1.69492,1,8
59,269,5488,0,0,5434,54,52,3717,22,4135,18,799,368,541,2512,1250,1351,651,11.8622,6146,1.70503,1,8
60,269,5497,0,0,5459,38,36,3620,23,4077,23,824,409,575,2404,1262,1316,661,12.0247,6186,1.68833,1,8
61,269,5414,0,0,5402,12,10,3631,24,4088,18,769,398,536,2479,1214,1355,666,12.3014,6063,1.69147,1,8
62,269,5427,0,0,5404,23,19,3642,23,4025,15,776,377,498,2459,1302,1365,661,12.1798,6240,1.67364,1,8
63,269,5342,0,0,5313,29,27,3554,23,3966,13,810,336,545,2359,1279,1297,656,12.28,6112,1.65728,1,8
64,269,5374,0,0,5342,32,30,3580,23,4039,25,802,374,534,2404,1235,1305,656,12.2069,5915,1.67757,1,8
65,269,5433,0,0,5394,39,36,3618,23,4028,18,782,426,532,2462,1213,1327,661,12.1664,6237,1.67448,1,8
66,269,5339,0,0,5288,51,45,3674,22,4123,23,799,326,486,2410,1295,1290,617,11.5565,5651,1.70155,1,8
67,269,5393,0,0,5367,26,22,3629,22,4079,18,799,402,463,2480,1231,1320,649,12.0341,6152,1.6889,1,8
68,269,5375,0,0,5340,35,32,3628,27,4078,15,754,380,525,2402,1299,1306,628,11.6837,5765,1.68862,1,8
69,269,5489,0,0,5433,56,52,3651,22,4082,17,809,407,593,2461,1202,1382,686,12.4977,6467,1.68976,1,8
70,269,5348,0,0,5321,27,21,3598,24,4138,17,757,419,523,2431,1201,1358,664,12.4159,6058,1.7059,1,8
71,269,5505,0,0,5471,34,30,3680,23,4198,19,809,381,545,2446,1305,1322,629,11.426,5946,1.72354,1,8
72,269,5405,0,0,5353,52,42,3687,23,4077,21,774,341,528,2418,1323,1299,636,11.7669,5747,1.68833,1,8
73,269,5313,0,0,5274,39,36,3456,24,3824,18,800,429,551,2260,1255,1269,620,11.6695,5887,1.61917,1,8
74,269,5371,0,0,5336,35,32,3618,25,4142,17,825,399,489,2460,1181,1304,652,12.1393,6141,1.70707,1,8
75,269,5506,0,0,5465,41,35,3646,21,4029,19,861,421,525,2442,1238,1371,687,12.4773,6141,1.67476,1,8
76,269,5525,0,0,5484,41,38,3698,24,4089,12,817,409,560,2461,1266,1374,679,12.2896,6183,1.69176,1,8
77,269,5402,0,0,5389,13,13,3633,23,3997,19,806,375,528,2407,1267,1308,636,11.7734,6364,1.66583,1,8
78,269,5455,0,0,5439,16,14,3665,23,4093,23,848,321,547,2373,1343,1364,658,12.0623,6037,1.69291,1,8
