Run,Time step,Infections,Exposed,Infectious,Recovered,Dead,ICU full,Peak,Peak time,Peak total,Initial,Home,School,Block,Work,Taxi,Tests,Positive,% Detected,Quarantines,R0,Tracing,TaT
0,269,4680,0,0,4654,26,16,2957,23,3398,20,762,293,566,1911,1128,1154,862,18.4188,0,1.51469,0,2
1,269,4754,0,0,4710,44,29,2927,23,3396,10,843,332,571,1877,1121,1123,864,18.1742,0,1.51423,0,2
2,269,4869,0,0,4833,36,23,2983,24,3390,23,899,336,595,1938,1078,1249,961,19.7371,0,1.51286,0,2
3,269,4812,0,0,4771,41,29,2954,27,3393,21,866,313,592,1867,1153,1142,865,17.9759,0,1.51355,0,2
4,269,4744,0,0,4731,13,3,2993,23,3367,14,831,282,612,1895,1110,1134,849,17.8963,0,1.50761,0,2
5,269,4797,0,0,4781,16,6,2975,24,3373,21,857,312,598,1911,1098,1117,851,17.7403,0,1.50898,0,2
6,269,4808,0,0,4762,46,27,3037,22,3442,37,879,256,567,1928,1141,1220,949,19.7379,0,1.52486,0,2
7,269,4934,0,0,4888,46,23,3005,23,3340,16,854,399,618,1979,1068,1191,896,18.1597,0,1.5015,0,2
8,269,4687,0,0,4647,40,26,2979,23,3409,23,790,260,612,1940,1062,1202,920,19.6288,0,1.51722,0,2
9,269,4740,0,0,4692,48,31,2951,27,3358,21,794,341,597,1907,1080,1171,872,18.3966,0,1.50557,0,2
10,269,4876,0,0,4829,47,35,3056,25,3463,26,906,283,646,1923,1092,1270,965,19.7908,0,1.52975,0,2
11,269,4856,0,0,4823,33,21,3002,33,3487,17,905,281,600,1934,1119,1244,947,19.5016,0,1.53539,0,2
12,269,5045,0,0,5011,34,17,3031,25,3417,13,912,394,626,1936,1164,1238,930,18.4341,0,1.51906,0,2
13,269,4963,0,0,4907,56,41,3082,23,3475,18,894,367,629,1980,1075,1232,919,18.517,0,1.53257,0,2
14,269,4895,0,0,4876,19,6,2967,24,3370,15,891,358,620,1914,1097,1239,928,18.9581,0,1.5083,0,2
