Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,711,626,626,19,19,35,26,468,0,196,221,20025,12,45,18,403,2553,33,30,14,192,40,49,11,31.4286,33,1.00089,0,0,0,1,0,0,1,5,754,175,21.5429,9.72222
0,103,1302,1138,1138,58,58,87,49,492,3,395,439,20041,20,91,48,402,2553,124,108,50,452,168,141,30,34.4828,90,1.00235,0,0,0,1,0,0,1,25,2692,962,30.9425,16.8772
0,155,2159,1888,1888,113,113,159,71,529,15,598,656,20043,29,135,93,402,2553,226,206,126,843,360,292,67,42.1384,173,1.00452,0,0,0,1,0,0,1,55,5833,2188,36.6855,19.5357
0,207,3133,2753,2753,196,196,236,82,573,30,797,871,20044,50,184,160,402,2553,354,315,237,1179,654,503,114,48.3051,289,1.00773,0,0,0,1,0,0,1,95,10167,4219,43.0805,21.5255
0,259,4221,3720,3720,293,293,334,92,636,52,994,1094,20048,53,258,293,403,2553,491,430,332,1638,939,775,172,51.497,458,1.01409,0,0,0,1,0,0,1,145,14669,6417,43.9192,21.901
0,311,5234,4604,4604,395,395,446,103,709,80,1195,1321,20046,57,307,391,403,2553,633,532,426,2043,1210,1097,233,52.2422,648,1.01868,0,0,0,1,0,0,1,195,19910,8983,44.6413,22.7995
0,363,6188,5432,5432,499,499,557,111,774,107,1396,1541,20038,61,349,470,403,2553,774,649,558,2404,1422,1377,291,52.2442,813,1.02231,0,0,0,1,0,0,1,245,25565,11824,45.8977,23.8387
0,415,7059,6155,6155,613,613,660,98,865,138,1594,1759,20027,62,405,598,403,2553,908,786,651,2725,1603,1694,354,53.6364,987,1.02826,0,0,0,1,0,0,1,305,31044,14651,47.0364,23.9787
0,467,7909,6880,6880,708,708,759,93,939,172,1794,1976,20010,64,439,664,403,2553,1029,894,745,3085,1767,1986,414,54.5455,1171,1.03116,0,0,0,1,0,0,1,350,36486,17343,48.0711,24.5304
0,519,8546,7418,7418,802,802,852,88,1004,199,1992,2201,20010,64,439,664,403,2553,1139,1013,819,3320,1870,2277,481,56.4554,1354,1.03083,0,0,0,1,0,0,1,400,41119,19546,48.2617,24.4325
