Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,642,562,562,5,5,22,21,427,0,200,216,20016,4,51,5,399,2606,15,1,9,174,44,5,2,9.09091,2,1.00025,996,996,0,1,1,0,1,0,379,59,17.2273,14.75
0,103,1238,1104,1104,45,45,68,42,444,1,399,434,20034,21,101,44,395,2606,78,33,58,485,191,131,29,42.6471,70,1.00216,2633,2125,2,1,1,0,1,20,2105,663,30.9559,14.7333
0,155,1873,1677,1677,86,86,120,49,484,7,593,654,20054,21,101,44,395,2606,163,54,113,800,353,272,60,50,161,1.00213,4472,3155,4,1,1,0,1,40,4377,1562,36.475,18.5952
0,207,2734,2418,2418,158,158,195,69,534,13,794,872,20065,33,207,158,396,2606,266,101,175,1199,602,492,104,53.3333,287,1.00763,6431,4219,6,1,1,0,1,75,7320,2849,37.5385,18.3806
0,259,3806,3353,3353,241,241,290,87,584,32,994,1098,20072,45,246,221,395,2606,396,172,287,1601,967,716,156,53.7931,415,1.01059,8397,5226,9,1,1,0,1,120,11638,4822,40.131,20.0917
0,311,4975,4351,4351,328,328,396,112,643,55,1196,1320,20069,56,295,305,395,2606,534,223,413,2146,1275,924,210,53.0303,538,1.01451,10284,6188,14,1,1,0,1,160,16659,7232,42.0682,22.1162
0,363,6116,5338,5338,460,460,519,114,724,85,1393,1541,20063,64,353,435,395,2606,697,287,556,2652,1545,1325,293,56.4547,791,1.02061,12190,7176,19,1,1,0,1,230,22635,10020,43.6127,21.9256
0,415,7080,6142,6142,573,573,648,139,807,119,1598,1762,20045,77,409,564,395,2606,857,362,673,3022,1780,1580,359,55.4012,920,1.02661,13973,7995,25,1,1,0,1,285,29249,13450,45.1373,23.5552
0,467,7926,6866,6866,712,712,762,110,899,157,1791,1983,20035,78,422,591,395,2606,1007,434,782,3369,1962,1972,445,58.399,1153,1.02763,15647,8783,32,1,1,0,1,355,35975,16931,47.2113,23.8465
0,519,8616,7440,7440,823,823,872,101,993,189,1988,2205,20028,78,422,591,395,2606,1130,499,854,3669,2084,2300,517,59.289,1352,1.02734,16981,9317,35,1,1,0,1,410,41702,20072,47.8234,24.3888
1,51,659,588,588,13,13,27,20,425,0,197,217,20020,8,46,11,393,2706,15,15,14,177,45,34,7,25.9259,20,1.00054,1053,1053,1,1,1,0,1,5,600,144,22.2222,13.0909
1,103,1092,951,951,44,44,60,30,448,3,394,437,20040,15,98,41,397,2706,93,65,63,343,132,115,24,40,66,1.00201,2635,2109,2,1,1,0,1,20,2074,757,34.5667,17.6047
1,155,1603,1406,1406,90,90,123,55,471,12,599,658,20047,25,131,66,397,2706,158,134,110,564,246,224,51,41.4634,124,1.00321,4479,3175,3,1,1,0,1,45,4417,1783,35.9106,19.8111
1,207,2300,2016,2016,146,146,172,55,514,18,794,880,20068,31,202,141,396,2706,250,213,173,812,464,395,88,51.1628,228,1.0068,6448,4214,5,1,1,0,1,70,7089,3051,41.2151,21.1875
1,259,3249,2830,2830,212,212,249,68,551,43,994,1102,20065,37,241,184,396,2706,367,278,258,1219,740,556,123,49.3976,323,1.0088,8477,5268,8,1,1,0,1,105,10634,4700,42.7068,22.488
1,311,4387,3833,3833,300,300,364,113,603,56,1193,1325,20076,53,309,296,395,2706,508,382,345,1768,1000,777,180,49.4505,461,1.01408,10476,6283,14,1,1,0,1,150,15499,6906,42.5797,23.1745
1,363,5529,4820,4820,420,420,480,115,694,80,1395,1545,20070,63,345,385,396,2706,678,448,457,2275,1288,1095,250,52.0833,641,1.01819,12362,7182,20,1,1,0,1,210,21289,9709,44.3521,23.283
1,415,6501,5646,5646,536,536,586,97,786,104,1595,1769,20070,65,402,512,396,2706,833,513,582,2676,1517,1444,329,56.1433,848,1.02409,14180,8076,29,1,1,0,1,265,26999,12660,46.0734,23.8418
1,467,7407,6419,6419,649,649,707,111,873,126,1793,1988,20069,65,402,512,396,2706,956,587,687,3110,1689,1743,394,55.7284,1036,1.02384,15859,8877,32,1,1,0,1,320,32733,15432,46.2984,23.9627
