Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,655,582,582,9,9,30,24,415,0,192,219,20027,5,39,6,389,2609,19,18,13,193,24,2374,7,23.3333,14,1.0003,0,0,0,1,0,1,1,0,640,82,21.3333,10.25
0,103,1183,1045,1045,56,56,80,45,435,6,398,436,20032,26,100,55,388,2609,90,86,64,443,115,5150,35,43.75,85,1.0027,0,0,0,1,0,1,1,25,2585,852,32.3125,15.2143
0,155,1693,1487,1487,102,102,121,36,475,18,591,655,20046,30,123,77,392,2609,180,131,123,549,324,7592,64,52.8926,155,1.00374,0,0,0,1,0,1,1,50,4884,2018,40.3636,20.18
0,207,2366,2084,2084,153,153,181,52,509,26,797,873,20050,30,123,77,391,2609,262,176,177,838,526,10041,96,53.0387,246,1.0037,0,0,0,1,0,1,1,75,7235,3006,39.9724,20.04
0,259,3161,2783,2783,204,204,242,58,551,40,994,1098,20064,31,219,170,392,2609,349,206,249,1191,780,12463,131,54.1322,338,1.00812,0,0,0,1,0,1,1,100,10007,4330,41.3512,21.33
0,311,4128,3623,3623,283,283,334,85,602,50,1199,1319,20070,40,306,276,392,2609,463,284,327,1685,987,14938,180,53.8922,472,1.01312,0,0,0,1,0,1,1,140,13712,5935,41.0539,21.0461
0,363,5222,4566,4566,396,396,441,93,670,71,1393,1535,20071,57,344,352,392,2609,618,405,438,2162,1222,17535,260,58.9569,686,1.01662,0,0,0,1,0,1,1,195,18919,8350,42.9002,21.2468
0,415,6082,5300,5300,497,497,548,94,756,96,1594,1761,20071,57,344,352,392,2609,739,465,518,2553,1426,20045,329,60.0365,882,1.01644,0,0,0,1,0,1,1,245,23724,10777,43.292,21.86
0,467,6847,5967,5967,592,592,646,87,835,118,1793,1983,20072,57,344,352,392,2609,858,525,610,2928,1552,22517,390,60.3715,1063,1.01627,0,0,0,1,0,1,1,295,28510,13136,44.1331,22.3782
0,519,7492,6506,6506,690,690,735,81,908,145,1996,2199,20058,58,503,670,392,2609,975,562,668,3210,1695,24989,454,61.7687,1235,1.03112,0,0,0,1,0,1,1,345,33264,15818,45.2571,23.092
1,51,512,445,445,9,9,17,15,367,0,194,221,20027,7,50,9,384,2587,20,19,11,62,16,2354,4,23.5294,11,1.00045,0,0,0,1,0,1,1,0,419,90,24.6471,10
1,103,858,747,747,34,34,48,30,380,2,396,445,20047,17,100,32,384,2587,73,59,37,222,83,5037,20,41.6667,52,1.00157,0,0,0,1,0,1,1,15,1743,663,36.3125,19.5
1,155,1418,1248,1248,75,75,94,31,408,13,597,666,20056,24,127,53,382,2587,138,108,85,480,232,7502,51,54.2553,140,1.00257,0,0,0,1,0,1,1,35,3673,1602,39.0745,22.25
1,207,1951,1721,1721,116,116,143,46,436,23,799,888,20066,24,127,53,383,2587,211,137,132,722,369,9899,81,56.6434,206,1.00254,0,0,0,1,0,1,1,55,5501,2482,38.4685,21.3966
1,259,2732,2420,2420,167,167,200,60,469,30,997,1107,20080,29,259,167,383,2587,302,160,189,1098,608,12311,113,56.5,292,1.00798,0,0,0,1,0,1,1,80,8181,3561,40.905,21.8466
1,311,3669,3239,3239,246,246,291,83,522,41,1195,1327,20091,42,303,238,383,2587,419,216,263,1534,866,14776,169,58.0756,434,1.01129,0,0,0,1,0,1,1,120,11907,5336,40.9175,22.0496
1,363,4710,4146,4146,332,332,377,88,583,60,1395,1544,20089,48,351,315,383,2587,563,245,364,2018,1148,17197,226,59.9469,581,1.01484,0,0,0,1,0,1,1,165,16150,7452,42.8382,22.5818
1,415,5667,4969,4969,431,431,485,86,663,84,1591,1767,20092,48,351,315,383,2587,689,294,450,2498,1369,19708,302,62.268,775,1.01468,0,0,0,1,0,1,1,215,20936,9506,43.167,22.2103
1,467,6537,5706,5706,531,531,585,97,736,103,1791,1988,20094,56,444,494,383,2587,832,347,560,2865,1565,22144,366,62.5641,950,1.02298,0,0,0,1,0,1,1,265,25831,11973,44.1556,22.6333
1,519,7294,6350,6350,643,643,694,98,818,131,1992,2206,20083,57,518,641,382,2587,946,433,643,3177,1727,24537,434,62.536,1107,1.02972,0,0,0,1,0,1,1,320,31113,14453,44.8314,22.5828
