Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,701,620,620,21,21,35,27,433,0,196,216,20020,14,49,21,412,2610,31,28,20,186,24,2398,11,31.4286,31,1.00104,1045,1045,0,1,1,1,1,10,770,162,22,8.1
0,103,1149,1010,1010,55,55,73,38,458,4,398,438,20036,21,103,55,413,2610,96,93,80,319,151,5188,28,38.3562,71,1.0027,2655,2127,0,1,1,1,1,25,2500,965,34.2466,18.9216
0,155,1896,1659,1659,98,98,135,48,488,14,598,652,20040,23,123,70,412,2610,185,161,144,628,378,7678,68,50.3704,161,1.0034,4559,3214,0,1,1,1,1,45,4916,1985,36.4148,21.117
0,207,2863,2501,2501,182,182,221,74,546,16,794,876,20066,36,207,182,413,2610,308,191,219,1095,648,10213,131,59.276,331,1.00879,6495,4196,5,1,1,1,1,90,8496,3228,38.4434,18.659
0,259,4029,3522,3522,271,271,339,104,605,35,995,1102,20072,43,227,215,412,2610,458,220,336,1653,970,12801,193,56.9322,506,1.01029,8537,5286,8,1,1,1,1,135,13268,5205,39.1386,19.7159
0,311,5110,4466,4466,405,405,459,99,705,56,1195,1323,20072,65,288,354,413,2610,622,266,443,2107,1284,15510,298,64.9237,776,1.01688,10609,6334,14,1,1,1,1,200,18782,7955,40.9194,19.9373
0,363,6250,5445,5445,515,515,604,124,804,74,1396,1541,20071,65,288,354,413,2610,785,323,552,2667,1537,18188,393,65.0662,1038,1.01671,12562,7219,22,1,1,1,1,255,24508,10476,40.5762,20.5815
0,415,7226,6293,6293,649,649,708,112,906,93,1589,1759,20077,76,402,624,413,2610,957,383,665,3122,1712,20778,475,67.0904,1267,1.02952,14423,8111,23,1,1,1,1,320,30916,13609,43.6667,21.3307
0,467,7818,6798,6798,746,746,790,82,997,116,1791,1979,20072,76,402,624,413,2610,1069,433,739,3333,1854,23303,552,69.8734,1477,1.02922,16205,8963,26,1,1,1,1,370,35812,16104,45.3316,21.7916
0,519,8277,7183,7183,833,833,872,72,1074,137,1988,2200,20075,76,402,624,413,2610,1139,469,807,3529,1938,25734,612,70.1835,1639,1.02892,17611,9502,29,1,1,1,1,415,40173,18427,46.07,22.4173
1,51,713,638,638,12,12,34,28,476,0,195,221,20026,7,43,9,391,2581,39,21,17,195,50,2370,7,20.5882,18,1.00045,1035,1035,0,1,1,1,1,5,758,129,22.2941,11.7273
1,103,1157,1032,1032,53,53,76,33,501,4,397,439,20038,17,89,43,387,2581,94,78,63,366,175,5248,41,53.9474,110,1.00211,2602,2096,0,1,1,1,1,25,2369,753,31.1711,14.7647
1,155,1832,1617,1617,96,96,133,55,537,8,596,661,20057,24,155,96,391,2581,166,104,118,701,357,7697,69,51.8797,175,1.00467,4463,3160,0,1,1,1,1,45,4504,1593,33.8647,16.7684
