Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,589,536,536,11,11,27,24,421,0,197,221,20024,10,50,11,398,2622,13,29,12,121,16,6,4,14.8148,0,1.00054,0,0,0,0,0,0,1,5,614,90,22.7407,8.18182
0,103,1059,946,946,49,49,74,47,442,1,399,443,20043,24,103,49,398,2622,88,61,66,325,122,30,27,36.4865,0,1.0024,0,0,0,0,0,0,1,20,2388,789,32.2703,16.4375
0,155,1788,1586,1586,96,96,126,57,465,15,596,657,20046,32,144,87,397,2622,191,103,138,653,311,61,51,40.4762,0,1.00423,0,0,0,0,0,0,1,45,5247,2198,41.6429,22.8958
0,207,2932,2579,2579,174,174,230,95,510,33,796,881,20052,43,207,174,397,2622,321,178,232,1229,586,96,85,36.9565,0,1.0084,0,0,0,0,0,0,1,85,9106,3740,39.5913,22.3952
0,259,4776,4191,4191,315,315,409,173,579,52,998,1102,20052,85,259,315,397,2622,555,284,377,2105,1076,181,159,38.8753,0,1.01515,0,0,0,0,0,0,1,155,16346,6896,39.9658,22.3896
0,311,6676,5828,5828,503,503,625,215,700,89,1197,1324,20038,107,307,490,397,2622,848,438,577,2916,1533,306,268,42.88,0,1.02352,0,0,0,0,0,0,1,250,26341,11579,42.1456,23.0657
0,363,8293,7224,7224,737,737,842,208,866,140,1395,1544,20009,120,345,655,397,2622,1147,637,765,3512,1874,458,409,48.5748,0,1.03136,0,0,0,0,0,0,1,365,38501,17277,45.7257,23.6671
0,415,9597,8312,8312,926,926,1014,188,1015,199,1595,1758,19964,128,394,861,397,2622,1396,831,953,3980,2066,576,509,50.1972,0,1.0412,0,0,0,0,0,0,1,460,49483,23369,48.7998,25.3185
0,467,10267,8883,8883,1071,1071,1125,113,1141,250,1791,1979,19938,128,394,861,397,2622,1541,970,1049,4213,2129,670,596,52.9778,0,1.04077,0,0,0,0,0,0,1,535,57215,27624,50.8578,25.841
0,519,10603,9143,9143,1152,1152,1191,64,1234,280,1987,2199,19932,128,394,861,397,2622,1632,1047,1122,4282,2148,735,657,55.1637,0,1.04035,0,0,0,0,0,0,1,575,62087,30623,52.1301,26.5825
1,51,662,597,597,13,13,35,29,442,0,195,220,20025,7,30,7,406,2624,24,20,19,156,37,7,7,20,0,1.00035,0,0,0,0,0,0,1,5,776,150,22.1714,11.5385
1,103,1228,1100,1100,59,59,84,48,463,3,396,444,20045,24,102,59,401,2624,116,73,56,411,174,37,36,42.8571,0,1.00289,0,0,0,0,0,0,1,25,2928,974,34.8571,16.5085
1,155,2030,1795,1795,112,112,154,74,488,20,592,667,20055,34,155,112,401,2624,225,132,134,742,404,59,56,36.3636,0,1.00545,0,0,0,0,0,0,1,55,6201,2251,40.2662,20.4636
1,207,3213,2821,2821,203,203,265,98,547,36,798,887,20053,41,174,145,401,2624,370,216,233,1283,724,122,111,41.8868,0,1.00699,0,0,0,0,0,0,1,100,10604,4192,40.0151,20.96
1,259,4658,4063,4063,352,352,426,164,628,50,996,1106,20060,94,258,350,401,2624,592,315,390,1899,1076,216,191,44.8357,0,1.01686,0,0,0,0,0,0,1,175,18021,7457,42.3028,21.3057
1,311,6427,5599,5599,511,511,623,200,751,91,1191,1323,20041,96,260,357,401,2624,888,503,568,2609,1473,320,283,45.4254,0,1.01703,0,0,0,0,0,0,1,255,27218,11883,43.6886,23.4842
1,363,8000,6954,6954,715,715,803,177,890,138,1393,1543,20012,111,352,683,401,2624,1132,688,748,3257,1804,454,408,50.8095,0,1.03274,0,0,0,0,0,0,1,355,37226,17015,46.3587,23.8305
1,415,9119,7918,7918,888,888,967,174,1004,190,1588,1760,19982,111,352,683,401,2624,1353,835,905,3672,1982,553,496,51.2927,0,1.0324,0,0,0,0,0,0,1,440,46833,21978,48.4312,24.8059
1,467,9810,8495,8495,1013,1013,1068,102,1134,244,1784,1976,19948,111,352,683,401,2624,1491,963,992,3902,2082,637,576,53.9326,0,1.03208,0,0,0,0,0,0,1,505,53880,25962,50.4494,25.705
1,519,10262,8860,8860,1094,1094,1134,77,1203,269,1984,2195,19942,111,352,683,401,2624,1584,1066,1051,4054,2121,690,622,54.8501,0,1.03175,0,0,0,0,0,0,1,545,58426,28439,51.522,26.0192
2,51,590,525,525,8,8,34,31,381,0,200,222,20022,7,47,8,397,2577,23,8,10,138,14,5,5,14.7059,0,1.0004,0,0,0,0,0,0,1,0,644,70,18.9412,8.75
2,103,1339,1184,1184,62,62,92,58,404,1,397,444,20046,32,92,56,392,2577,133,72,64,490,191,39,37,40.2174,0,1.00275,0,0,0,0,0,0,1,30,3239,1121,35.2065,18.0806
2,155,2612,2306,2306,146,146,199,107,445,17,600,663,20046,54,155,146,395,2577,298,147,188,1067,524,81,74,37.1859,0,1.00712,0,0,0,0,0,0,1,70,7540,2954,37.8894,20.6573
2,207,4168,3643,3643,272,272,356,155,528,36,795,888,20057,71,207,272,395,2577,504,247,321,1799,916,162,147,41.2921,0,1.01319,0,0,0,0,0,0,1,135,14008,5579,39.3483,20.8951
2,259,6162,5390,5390,452,452,573,210,650,65,992,1104,20047,98,243,400,395,2577,799,386,506,2740,1355,280,249,43.4555,0,1.01932,0,0,0,0,0,0,1,225,24027,9934,41.9319,22.0756
2,311,7745,6753,6753,690,690,784,212,799,110,1195,1325,20020,125,308,680,395,2577,1080,541,709,3367,1684,440,397,50.6378,0,1.03294,0,0,0,0,0,0,1,345,35773,15305,45.6288,22.3757
2,363,9014,7841,7841,881,881,960,173,956,173,1394,1542,19975,125,308,680,395,2577,1298,713,881,3889,1866,573,514,53.5417,0,1.0326,0,0,0,0,0,0,1,440,46381,20855,48.3135,23.7799
2,415,9803,8500,8500,1031,1031,1088,134,1085,222,1593,1763,19948,125,308,680,395,2577,1467,914,990,4087,1971,673,604,55.5147,0,1.03225,0,0,0,0,0,0,1,515,54368,25120,49.9706,24.4596
