Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,681,596,596,13,13,41,40,441,0,194,218,20024,12,51,13,429,2682,20,25,17,163,27,13,4,9.7561,17,1.00064,1056,1056,0,1,1,0,1,5,745,67,18.1707,6.09091
0,103,1370,1213,1213,69,69,98,53,474,3,398,440,20039,28,89,57,418,2682,136,117,102,413,186,211,41,41.8367,126,1.0028,2682,2133,3,1,1,0,1,30,3515,1131,35.8673,16.3913
0,155,2390,2104,2104,148,148,186,89,513,17,597,661,20047,51,155,148,423,2682,273,185,177,837,501,425,87,46.7742,242,1.00721,4548,3217,7,1,1,0,1,70,7345,2826,39.4892,19.7622
0,207,3873,3406,3406,256,256,325,127,583,39,794,876,20043,59,207,256,423,2682,437,273,323,1480,950,735,156,48,403,1.01242,6573,4271,14,1,1,0,1,125,13157,5503,40.4831,21.751
0,259,5609,4924,4924,404,404,513,182,679,75,995,1091,20021,77,257,401,423,2682,678,365,470,2313,1376,1151,243,47.3684,639,1.01938,8599,5310,21,1,1,0,1,200,21208,9030,41.3411,22.575
0,311,7124,6235,6235,588,588,682,180,801,119,1193,1307,19995,105,281,496,423,2682,939,529,617,2869,1764,1654,344,50.4399,935,1.02383,10590,6319,32,1,1,0,1,290,30911,13912,45.324,23.8628
0,363,8431,7376,7376,781,781,859,167,936,163,1388,1528,19977,105,281,496,423,2682,1172,716,795,3349,2005,2233,467,54.3655,1280,1.02358,12492,7223,40,1,1,0,1,390,40591,18669,47.2538,24.1514
0,415,9320,8121,8121,941,941,991,122,1067,208,1590,1746,19948,105,281,496,423,2682,1349,912,894,3658,2115,2724,576,58.1231,1566,1.02334,14325,8094,45,1,1,0,1,470,48694,22896,49.1362,24.4094
0,467,9781,8500,8500,1021,1021,1057,79,1158,245,1786,1964,19933,105,281,496,423,2682,1443,990,965,3801,2171,2987,631,59.6973,1707,1.0231,16004,8904,49,1,1,0,1,510,53737,26008,50.8392,25.5481
0,519,10083,8748,8748,1079,1079,1109,50,1208,274,1985,2182,19923,105,281,496,423,2682,1509,1052,1015,3903,2197,3148,665,59.9639,1808,1.02287,17349,9438,54,1,1,0,1,535,57354,28108,51.7169,26.147
1,51,737,655,655,18,18,43,39,468,0,196,217,20021,15,48,17,387,2588,30,33,22,221,44,52,10,23.2558,25,1.00084,1072,1072,0,1,1,0,1,5,871,218,20.2558,12.1111
1,103,1398,1246,1246,71,71,101,55,497,5,395,432,20032,25,93,58,382,2588,129,91,89,501,208,225,47,46.5347,128,1.00285,2754,2190,3,1,1,0,1,35,3475,1193,34.4059,17.2899
1,155,2526,2250,2250,147,147,188,78,549,13,596,650,20041,41,152,146,384,2588,246,149,174,1071,511,456,101,53.7234,268,1.00712,4663,3291,4,1,1,0,1,70,6907,2771,36.7394,18.8503
1,207,3939,3498,3498,237,237,327,146,602,29,794,874,20051,59,207,237,384,2588,401,194,284,1769,920,694,152,46.4832,407,1.01148,6632,4300,7,1,1,0,1,115,12265,4874,37.5076,20.8291
1,259,5656,4993,4993,393,393,509,188,696,62,996,1090,20032,76,252,375,384,2588,633,245,429,2611,1374,1163,254,49.9018,675,1.0181,8652,5370,16,1,1,0,1,195,20725,8464,40.7171,21.8144
