Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,800,713,713,27,27,49,41,483,1,195,217,20021,21,51,27,399,2600,48,48,30,228,47,2388,9,18.3673,31,1.00134,0,0,0,1,0,1,1,10,1091,335,22.2653,13.9583
0,103,1512,1350,1350,79,79,114,57,517,10,397,439,20032,32,87,65,400,2600,146,127,103,501,241,5264,46,40.3509,134,1.00319,0,0,0,1,0,1,1,35,3803,1571,33.3596,20.4026
0,155,2438,2153,2153,152,152,199,75,576,18,594,658,20046,32,87,65,401,2600,247,175,171,955,497,7843,104,52.2613,284,1.00316,0,0,0,1,0,1,1,75,6885,2893,34.598,19.5473
0,207,3756,3302,3302,254,254,328,125,634,30,798,874,20046,65,206,253,401,2600,426,259,302,1526,856,10427,179,54.5732,460,1.01227,0,0,0,1,0,1,1,125,12133,5307,36.9909,21.0595
0,259,5397,4699,4699,411,411,517,183,744,55,999,1093,20039,84,259,411,401,2600,641,340,451,2331,1243,13174,286,55.3191,745,1.01987,0,0,0,1,0,1,1,205,19791,8490,38.2805,21.1194
0,311,6972,6062,6062,614,614,732,196,891,81,1195,1312,20036,103,304,596,401,2600,889,438,629,3009,1640,16140,433,59.153,1139,1.02877,0,0,0,1,0,1,1,305,29577,13138,40.4057,21.7157
0,363,8357,7238,7238,812,812,907,171,1050,127,1397,1532,20008,104,353,781,401,2600,1159,583,792,3586,1870,18981,576,63.5061,1524,1.03764,0,0,0,1,0,1,1,405,39602,18119,43.6626,22.4801
0,415,9218,7954,7954,967,967,1041,131,1185,168,1592,1750,19990,104,353,781,401,2600,1348,706,919,3872,2006,21684,688,66.0903,1807,1.03725,0,0,0,1,0,1,1,480,47492,22421,45.6215,23.3552
0,467,9859,8489,8489,1092,1092,1148,100,1298,200,1794,1971,19977,104,353,781,401,2600,1463,816,1011,4134,2061,24286,783,68.2056,2079,1.03686,0,0,0,1,0,1,1,545,53580,25866,46.6725,23.9057
0,519,10188,8745,8745,1171,1171,1203,64,1373,227,1992,2194,19975,104,353,781,401,2600,1523,923,1053,4226,2080,26691,835,69.4098,2226,1.03647,0,0,0,1,0,1,1,585,57498,28042,47.7955,24.1325
