Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,745,651,651,22,22,37,32,505,0,199,222,20023,17,50,22,445,2583,23,17,23,190,47,2368,13,35.1351,33,1.00109,1011,1011,0,1,1,1,1,10,961,227,25.973,10.8095
0,103,1396,1242,1242,80,80,110,62,536,5,397,447,20045,35,103,80,438,2583,126,67,86,472,209,5305,54,49.0909,142,1.00393,2593,2096,1,1,1,1,1,40,3717,1328,33.7909,17.2468
0,155,2219,1962,1962,139,139,180,68,582,20,597,666,20049,37,145,130,442,2583,259,122,178,755,472,7796,94,52.2222,251,1.00633,4432,3139,2,1,1,1,1,65,7127,3041,39.5944,22.1971
0,207,3244,2867,2867,223,223,284,94,635,35,795,887,20057,37,145,130,442,2583,381,197,270,1260,712,10330,152,53.5211,412,1.00626,6345,4169,3,1,1,1,1,110,11081,4731,39.0176,21.5045
0,259,4563,4013,4013,344,344,416,126,729,46,993,1109,20070,63,257,342,442,2583,541,298,387,1902,1003,12948,235,56.4904,626,1.01647,8354,5255,10,1,1,1,1,170,17072,7251,41.0385,21.3894
0,311,5741,5030,5030,487,487,559,124,831,73,1190,1328,20065,75,287,424,442,2583,740,383,504,2378,1320,15672,343,61.3596,909,1.02028,10456,6330,14,1,1,1,1,240,24075,10810,43.068,22.5208
0,363,6984,6096,6096,632,632,707,139,936,107,1393,1548,20048,81,343,584,442,2583,905,458,641,2977,1581,18329,449,63.5078,1176,1.02786,12312,7197,20,1,1,1,1,315,31386,14613,44.3932,23.3435
0,415,8006,6974,6974,778,778,859,142,1037,151,1594,1770,20025,81,343,584,442,2583,1071,555,754,3432,1775,20994,551,64.1444,1473,1.02757,14056,8013,27,1,1,1,1,385,38783,18247,45.149,23.7282
0,467,8675,7540,7540,902,902,954,87,1154,189,1791,1987,20007,88,429,827,442,2583,1218,595,858,3705,1876,23580,651,68.239,1748,1.03908,15790,8868,34,1,1,1,1,450,45088,21945,47.2621,24.547
0,519,9118,7911,7911,983,983,1018,58,1224,215,1989,2201,19997,88,429,827,442,2583,1298,660,914,3876,1946,26025,709,69.6464,1918,1.03869,17217,9445,36,1,1,1,1,490,49173,24188,48.3035,24.8592
1,51,626,554,554,11,11,38,32,409,0,199,217,20018,9,49,11,378,2519,30,25,8,156,29,2292,8,21.0526,20,1.00054,1101,1101,1,1,1,1,1,5,692,97,18.2105,8.81818
1,103,1344,1194,1194,72,72,94,47,441,2,397,434,20035,32,93,63,375,2519,110,113,78,482,194,5085,50,53.1915,129,1.00309,2729,2202,5,1,1,1,1,35,3127,1188,33.266,16.5
1,155,2157,1909,1909,126,126,175,68,484,14,596,660,20050,32,93,63,375,2519,207,178,141,846,421,7549,96,54.8571,266,1.00306,4525,3203,9,1,1,1,1,60,6158,2536,35.1886,20.4516
1,207,3298,2914,2914,226,226,281,99,549,27,797,882,20058,49,207,226,375,2519,347,304,233,1366,683,10066,161,57.2954,430,1.01094,6485,4264,13,1,1,1,1,110,10329,4436,36.758,19.8924
1,259,4784,4225,4225,344,344,431,136,628,49,997,1098,20052,61,236,289,375,2519,516,425,348,2056,1082,12616,248,57.5406,656,1.01389,8462,5260,14,1,1,1,1,170,16609,7242,38.536,21.1754
1,311,6291,5533,5533,514,514,606,155,750,73,1188,1323,20062,74,311,514,375,2519,733,579,481,2763,1387,15381,369,60.8911,989,1.0247,10464,6280,21,1,1,1,1,255,24200,10716,39.934,21.1361
1,363,7479,6553,6553,672,672,761,152,879,99,1397,1541,20045,87,327,563,375,2519,930,719,615,3238,1629,18126,486,63.8633,1327,1.02684,12341,7162,25,1,1,1,1,335,32422,14660,42.6045,22.1116
