Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,579,529,529,14,14,29,22,404,0,196,221,20025,7,40,9,365,2588,19,22,17,119,37,33,9,31.0345,15,1.00045,1029,1029,0,1,1,0,1,5,565,155,19.4828,11.9231
0,103,1050,934,934,50,50,70,39,421,4,399,434,20031,20,97,46,366,2588,76,84,61,304,162,134,31,44.2857,78,1.00226,2566,2072,0,1,1,0,1,25,2290,800,32.7143,16
0,155,1806,1602,1602,95,95,134,62,460,11,597,662,20054,24,115,61,369,2588,166,155,122,626,370,262,59,44.0299,156,1.00296,4435,3147,2,1,1,0,1,45,4782,1840,35.6866,19.5745
0,207,2871,2536,2536,181,181,231,91,511,22,800,884,20062,46,203,176,369,2588,298,234,205,1115,659,517,118,51.0823,309,1.0085,6347,4135,6,1,1,0,1,90,8890,3426,38.4848,19.1397
0,259,4129,3645,3645,295,295,367,127,581,44,997,1103,20062,60,252,278,369,2588,472,291,313,1702,997,820,188,51.2262,473,1.01335,8302,5154,9,1,1,0,1,145,14662,6096,39.951,20.9485
0,311,5344,4696,4696,434,434,489,120,679,74,1197,1324,20053,73,305,420,369,2588,654,394,446,2168,1328,1230,268,54.8057,705,1.02009,10272,6177,14,1,1,0,1,215,21275,9291,43.5072,21.607
0,363,6552,5739,5739,559,559,626,127,778,104,1392,1549,20053,75,339,504,369,2588,855,537,572,2637,1599,1569,344,54.9521,906,1.02395,12309,7248,18,1,1,0,1,275,28096,12772,44.8818,22.9712
0,415,7441,6505,6505,684,684,735,108,867,138,1594,1767,20035,75,339,504,369,2588,1029,651,692,2963,1759,1922,426,57.9592,1112,1.0237,14159,8093,21,1,1,0,1,340,34516,16123,46.9605,23.7802
0,467,8112,7052,7052,778,778,831,97,954,168,1792,1986,20026,75,339,504,369,2588,1154,745,777,3203,1876,2115,473,56.9194,1205,1.02346,15947,8961,25,1,1,0,1,385,39739,18988,47.8207,24.5006
0,519,8649,7513,7513,866,866,909,74,1018,198,1989,2208,20021,75,339,504,369,2588,1242,830,844,3421,1963,2368,535,58.8559,1367,1.02322,17399,9541,27,1,1,0,1,430,44503,21439,48.9582,24.9291
1,51,516,465,465,11,11,24,20,391,0,197,220,20023,7,51,11,372,2606,11,0,8,107,18,27,6,25,14,1.00054,1038,1038,0,1,1,0,1,5,407,96,16.9583,9.6
1,103,1068,946,946,49,49,72,43,403,5,393,441,20043,21,99,45,367,2606,79,30,70,380,146,133,31,43.0556,84,1.00221,2643,2103,2,1,1,0,1,20,2170,749,30.1389,15.6042
1,155,1877,1666,1666,104,104,143,73,439,13,597,660,20050,34,155,104,370,2606,186,65,152,691,418,267,69,48.2517,147,1.00506,4530,3185,5,1,1,0,1,50,5290,2078,36.993,20.5743
1,207,2886,2568,2568,194,194,242,84,497,32,789,883,20062,40,207,194,370,2606,333,109,242,1139,707,533,126,52.0661,298,1.00938,6572,4286,11,1,1,0,1,95,9529,3788,39.376,19.8325
1,259,4056,3593,3593,289,289,350,102,575,50,992,1100,20058,49,217,217,370,2606,482,159,341,1667,1046,805,185,52.8571,455,1.01039,8628,5346,13,1,1,0,1,140,14217,5991,40.62,20.9476
1,311,5098,4495,4495,399,399,469,107,657,73,1195,1319,20051,57,295,377,370,2606,637,221,432,2105,1345,1184,256,54.5842,656,1.018,10624,6348,15,1,1,0,1,195,19536,8523,41.6546,21.4685
1,363,6357,5590,5590,547,547,613,127,749,97,1394,1540,20049,73,359,537,370,2606,802,308,550,2752,1599,1603,348,56.77,888,1.02557,12489,7224,23,1,1,0,1,270,26280,11510,42.8711,21.2362
1,415,7294,6386,6386,675,675,739,123,850,130,1591,1756,20035,73,359,537,370,2606,953,389,677,3132,1794,1965,426,57.6455,1104,1.02531,14239,8071,27,1,1,0,1,335,33021,14644,44.6834,21.727
1,467,8075,7052,7052,790,790,838,103,947,154,1793,1971,20024,73,359,537,370,2606,1088,499,769,3451,1917,2295,500,59.6659,1311,1.02505,15958,8912,32,1,1,0,1,395,39045,17928,46.5931,22.8092
1,519,8593,7467,7467,868,868,914,71,1033,186,1990,2194,20018,73,359,537,370,2606,1202,561,844,3644,1982,2567,553,60.5033,1491,1.0248,17350,9464,35,1,1,0,1,430,43663,20154,47.7713,23.2725
2,51,680,622,622,16,16,30,24,463,0,198,226,20028,12,48,16,394,2623,37,13,27,187,23,36,10,33.3333,29,1.00079,1082,1082,0,1,1,0,1,5,684,149,22.8,9.3125
2,103,1363,1211,1211,63,63,96,52,490,7,399,441,20035,23,89,49,394,2623,122,65,81,557,149,177,38,39.5833,115,1.0024,2714,2164,3,1,1,0,1,30,2769,952,28.8438,15.1111
2,155,2371,2106,2106,147,147,190,84,538,15,597,664,20052,48,149,140,393,2623,253,146,160,1033,399,431,91,47.8947,247,1.00682,4541,3203,6,1,1,0,1,70,6467,2514,34.0368,17.102
2,207,3691,3261,3261,247,247,306,109,610,34,793,891,20064,52,196,229,393,2623,422,210,277,1665,736,715,154,50.3268,428,1.01108,6481,4257,10,1,1,0,1,120,11272,4659,36.8366,19.0163
2,259,5071,4470,4470,369,369,439,130,698,57,996,1112,20059,64,245,338,393,2623,597,303,406,2263,1124,1053,225,51.2528,610,1.01627,8478,5314,23,1,1,0,1,180,17657,7640,40.221,20.9315
2,311,6670,5863,5863,515,515,613,170,795,87,1193,1336,20056,84,307,509,393,2623,804,412,541,3054,1482,1457,311,50.7341,862,1.02444,10445,6307,31,1,1,0,1,255,25386,11336,41.4127,22.184
2,363,8037,7026,7026,707,707,793,162,924,134,1398,1559,20027,100,333,596,393,2623,1040,557,697,3651,1727,1990,427,53.8462,1180,1.02843,12311,7201,36,1,1,0,1,350,34832,15839,43.9243,22.6595
2,415,8943,7795,7795,872,872,946,152,1052,179,1595,1779,20005,100,333,596,393,2623,1212,698,829,3984,1848,2474,533,56.3425,1484,1.02814,14089,8059,44,1,1,0,1,435,42976,20025,45.4292,23.1771
2,467,9618,8354,8354,992,992,1046,104,1170,213,1784,1997,20000,100,333,596,393,2623,1353,817,913,4226,1933,2887,615,58.7954,1714,1.02785,15819,8918,48,1,1,0,1,495,49378,23599,47.2065,23.8615
2,519,10058,8724,8724,1071,1071,1106,67,1241,244,1984,2217,19989,100,333,596,393,2623,1449,922,982,4359,1968,3122,666,60.217,1847,1.02757,17240,9454,51,1,1,0,1,535,54096,26446,48.9114,24.739
3,51,589,509,509,12,12,33,30,399,1,198,221,20022,9,50,12,367,2642,16,15,15,138,38,11,3,9.09091,7,1.00059,1068,1068,0,1,1,0,1,5,592,104,17.9394,8.66667
3,103,1361,1182,1182,78,78,115,74,421,5,395,439,20039,43,92,66,363,2642,147,84,92,468,213,170,37,32.1739,101,1.00324,2611,2100,3,1,1,0,1,35,3687,1503,32.0609,19.7763
3,155,2681,2340,2340,159,159,214,95,474,28,594,657,20035,45,124,109,367,2642,291,152,193,1075,611,351,76,35.514,196,1.0053,4401,3156,6,1,1,0,1,75,8030,3540,37.5234,22.6923
3,207,4390,3854,3854,293,293,382,151,551,53,795,874,20026,67,191,244,367,2642,500,281,334,1902,1026,752,157,41.0995,429,1.01183,6302,4206,10,1,1,0,1,145,14547,6380,38.0812,21.9244
3,259,6252,5475,5475,468,468,589,200,664,93,994,1095,20008,93,239,401,367,2642,776,394,512,2709,1517,1266,265,44.9915,727,1.01938,8281,5238,17,1,1,0,1,230,23979,10648,40.7114,22.8009
3,311,7850,6857,6857,696,696,803,201,827,135,1198,1316,19983,108,306,678,367,2642,1033,556,695,3393,1842,1972,425,52.9265,1156,1.03285,10261,6233,29,1,1,0,1,345,34303,15345,42.7186,22.1429
3,363,9060,7862,7862,888,888,989,180,996,182,1397,1539,19960,108,306,678,367,2642,1255,708,822,3884,2047,2556,554,56.0162,1463,1.0325,12157,7177,41,1,1,0,1,440,44417,20181,44.911,22.855
3,415,9908,8589,8589,1053,1053,1119,131,1127,226,1593,1756,19937,108,306,678,367,2642,1435,852,943,4217,2125,3031,660,58.9812,1747,1.03217,13968,8031,50,1,1,0,1,525,52953,25030,47.3217,23.7928
3,467,10372,8959,8959,1161,1161,1205,85,1226,270,1791,1973,19912,108,306,678,367,2642,1542,982,1027,4315,2159,3342,723,60,1949,1.03184,15705,8877,55,1,1,0,1,580,58458,28146,48.5129,24.2847
3,519,10600,9137,9137,1218,1218,1243,41,1285,295,1989,2192,19908,108,306,678,367,2642,1600,1075,1073,4337,2166,3532,764,61.4642,2071,1.03151,17113,9417,56,1,1,0,1,605,61586,30205,49.5463,24.8192
4,51,644,573,573,14,14,38,33,431,0,194,218,20024,9,51,14,383,2617,31,24,14,162,30,33,5,13.1579,18,1.00069,1055,1055,0,1,1,0,1,5,762,162,20.0526,13.5
4,103,1181,1041,1041,60,60,88,51,451,4,395,439,20040,26,95,56,379,2617,132,83,73,391,128,152,32,36.3636,93,1.00275,2667,2140,0,1,1,0,1,30,2927,1057,33.2614,17.9153
4,155,2115,1861,1861,130,130,167,60,506,16,599,665,20050,31,130,93,382,2617,223,183,144,874,321,372,75,44.9102,228,1.00452,4617,3260,2,1,1,0,1,65,6082,2403,36.4192,18.7734
4,207,3158,2768,2768,215,215,272,103,560,26,797,882,20059,50,207,215,382,2617,380,237,253,1293,623,578,117,43.0147,337,1.0104,6620,4330,7,1,1,0,1,105,10401,4274,38.239,20.1604
4,259,4444,3875,3875,329,329,392,127,636,46,995,1097,20056,67,258,325,382,2617,560,327,398,1806,980,848,178,45.4082,500,1.01565,8567,5335,13,1,1,0,1,160,16466,7318,42.0051,22.5864
4,311,6016,5253,5253,473,473,566,160,732,77,1195,1313,20041,81,308,468,382,2617,773,472,551,2529,1332,1288,267,47.1731,760,1.02245,10477,6341,16,1,1,0,1,235,23893,10648,42.2138,22.6072
4,363,7484,6509,6509,660,660,756,178,859,116,1390,1533,20027,92,351,623,382,2617,1022,632,718,3140,1615,1809,374,49.4709,1053,1.02979,12230,7172,21,1,1,0,1,330,33158,14885,43.8598,22.7252
4,415,8531,7399,7399,831,831,910,147,1004,159,1589,1753,20005,104,377,720,382,2617,1215,826,857,3454,1823,2278,482,52.967,1340,1.03423,13902,7986,31,1,1,0,1,415,41842,19507,45.9802,23.5308
4,467,9283,8020,8020,953,953,1021,115,1113,204,1788,1971,19979,104,377,720,382,2617,1370,945,976,3711,1916,2607,554,54.2605,1531,1.03388,15611,8838,40,1,1,0,1,475,48687,23284,47.6856,24.5095
