Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,793,699,699,13,13,47,45,466,0,197,213,20016,11,50,13,400,2614,33,21,21,249,69,2378,3,6.38298,6,1.00064,0,0,0,1,0,1,1,5,944,122,20.0851,9.38462
0,103,1722,1504,1504,86,86,125,72,498,8,395,435,20032,36,103,86,391,2614,158,101,98,649,330,5286,44,35.2,116,1.00423,0,0,0,1,0,1,1,40,4121,1383,32.968,16.4643
0,155,3131,2733,2733,189,189,264,117,564,24,594,652,20034,48,155,189,395,2614,324,170,204,1319,734,7977,125,47.3485,347,1.00924,0,0,0,1,0,1,1,90,9084,3339,34.4091,17.9516
0,207,4812,4196,4196,351,351,453,166,670,47,796,876,20033,77,201,334,395,2614,532,251,375,2072,1214,10848,240,52.9801,650,1.01626,0,0,0,1,0,1,1,175,16548,6476,36.5298,18.7168
0,259,6474,5628,5628,562,562,680,203,825,81,998,1102,20023,106,240,490,395,2614,785,379,558,2811,1572,13824,384,56.4706,1032,1.02377,0,0,0,1,0,1,1,280,26802,11156,39.4147,20.1736
0,311,7778,6758,6758,774,774,851,163,989,124,1197,1325,20004,108,305,755,395,2614,1037,552,738,3227,1858,16803,533,62.6322,1446,1.0367,0,0,0,1,0,1,1,385,36837,16248,43.2867,21.2392
0,363,8612,7472,7472,913,913,973,114,1119,173,1395,1547,19979,108,305,755,395,2614,1195,673,835,3552,1988,19556,639,65.6732,1744,1.03631,0,0,0,1,0,1,1,455,44200,20139,45.4265,22.204
0,415,9134,7912,7912,1008,1008,1053,77,1209,205,1593,1761,19963,108,305,755,395,2614,1291,776,906,3713,2074,22112,714,67.8063,1945,1.03594,0,0,0,1,0,1,1,500,49128,22803,46.6553,22.7348
0,467,9512,8242,8242,1084,1084,1110,52,1274,224,1786,1973,19963,108,305,755,395,2614,1370,822,955,3878,2110,24579,775,69.8198,2112,1.03558,0,0,0,1,0,1,1,540,52468,24410,47.2685,22.6648
0,519,9715,8408,8408,1120,1120,1133,26,1319,237,1990,2193,19966,108,305,755,395,2614,1412,870,984,3937,2127,26844,803,70.8738,2182,1.03522,0,0,0,1,0,1,1,560,54484,25607,48.0883,22.9659
