Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
0,51,718,633,633,20,20,48,39,447,1,196,223,20026,14,49,19,394,2641,33,35,21,216,19,2416,13,27.0833,43,1.00094,1046,1046,0,1,1,1,1,10,917,217,19.1042,11.4211
0,103,1336,1188,1188,81,81,108,51,479,9,399,440,20032,34,94,71,388,2641,145,130,90,429,159,5330,55,50.9259,150,1.00349,2632,2096,1,1,1,1,1,40,3548,1366,32.8519,17.075
0,155,2046,1802,1802,138,138,171,54,524,21,593,658,20044,34,94,71,391,2641,230,182,155,776,325,7862,98,57.3099,259,1.00345,4506,3159,3,1,1,1,1,65,6121,2749,35.7953,20.0657
0,207,3134,2743,2743,217,217,279,95,576,32,794,878,20052,43,206,216,391,2641,377,285,235,1263,595,10422,153,54.8387,410,1.01045,6478,4203,6,1,1,1,1,105,10020,4384,35.914,20.3907
0,259,4307,3747,3747,338,338,410,111,670,52,996,1097,20049,61,236,291,391,2641,535,404,348,1775,868,13043,233,56.8293,616,1.01399,8499,5236,12,1,1,1,1,165,15540,7098,37.9024,21.2515
0,311,5699,4954,4954,489,489,574,133,772,76,1196,1318,20046,67,308,483,391,2641,709,566,472,2469,1123,15892,359,62.5436,979,1.02318,10514,6271,16,1,1,1,1,240,22058,10213,38.4286,21.1449
0,363,7086,6138,6138,658,658,745,155,893,101,1390,1539,20048,87,357,646,391,2641,926,749,629,3034,1385,18674,480,64.4295,1289,1.03092,12352,7154,23,1,1,1,1,325,30079,14174,40.3745,21.8062
0,415,8212,7085,7085,807,807,894,145,1015,145,1593,1763,20025,94,377,707,391,2641,1101,939,758,3455,1590,21305,583,65.2125,1559,1.03358,14141,8049,29,1,1,1,1,400,37989,18421,42.4933,22.9975
0,467,9064,7803,7803,943,943,998,101,1121,189,1787,1985,20009,94,377,707,391,2641,1236,1152,882,3714,1712,23954,684,68.5371,1819,1.03323,15869,8883,31,1,1,1,1,470,44803,21976,44.8928,23.5541
0,519,9588,8231,8231,1033,1033,1092,93,1204,217,1981,2201,20003,94,377,707,391,2641,1318,1289,958,3884,1763,26442,756,69.2308,2019,1.03289,17251,9427,36,1,1,1,1,515,49494,24427,45.3242,23.8312
1,51,677,600,600,15,15,41,32,452,0,197,219,20022,8,38,9,399,2623,30,31,21,169,27,2394,11,26.8293,17,1.00045,994,994,0,1,1,1,1,5,765,171,18.6585,12.2143
1,103,1237,1082,1082,70,70,103,57,475,7,398,444,20039,28,102,70,399,2623,132,154,80,360,118,5263,44,42.7184,103,1.00344,2566,2053,0,1,1,1,1,35,3282,1095,31.8641,15.6429
1,155,2121,1844,1844,144,144,193,74,539,16,596,662,20050,32,120,99,402,2623,236,236,160,759,338,7883,102,52.8497,255,1.00481,4394,3074,2,1,1,1,1,70,6746,2589,34.9534,18.1049
1,207,3460,3024,3024,247,247,316,113,604,32,797,880,20051,51,203,242,403,2623,384,306,260,1400,717,10523,171,54.1139,432,1.01173,6339,4122,8,1,1,1,1,120,11447,4487,36.2247,18.3893
1,259,5099,4454,4454,387,387,480,147,710,51,996,1100,20053,69,246,358,403,2623,590,399,413,2144,1167,13286,267,55.625,678,1.01726,8329,5150,15,1,1,1,1,190,18166,7686,37.8458,19.9636
1,311,6581,5755,5755,568,568,660,146,841,79,1194,1317,20044,79,264,411,403,2623,799,524,560,2766,1562,16280,420,63.6364,1118,1.01966,10234,6109,23,1,1,1,1,280,26302,11476,39.8515,20.3837
1,363,7630,6654,6654,738,738,808,124,987,111,1393,1537,20033,85,325,628,403,2623,964,675,689,3147,1783,19105,545,67.4505,1445,1.03003,12187,7136,29,1,1,1,1,365,33826,15364,41.8639,20.9891
